用户账号 	    商家名称		           预定时间
190001 鼎坤朋湘菜馆			11月30日午餐
191000 重八牛府之初入江湖（双榆树店）			11月29日晚餐
190002 甜鸭梨烤鸭店（农大店）			12月5日晚餐
190002 鼎坤朋湘菜馆			12月8日午餐
190001 甜鸭梨烤鸭店（农大店）			12月6日午餐
190001 麻里麻里（融科店）			12月8日午餐
190003 鼎坤朋湘菜馆			11月30日晚餐
190002 鼎坤朋湘菜馆			11月30日晚餐
190002 外婆家（清河华润五彩城店）			12月12日午餐
190022 攀成钢小郡肝串串香（海淀直营总店）			12月9日晚餐
190013 汤本味新赣苑（蓟门桥店）			12月8日晚餐
190002 上庄水库三友烧烤乐园			12月21日午餐
190009 尚庄度假村·近水自助烧烤（上庄水库店）			12月24日晚餐
190016 鑫方老鸭汤火锅·羊蝎子（六道口店）			11月7日晚餐
190020 醉面肉酱面是一绝（大钟寺店）			11月25日午餐
190008 吉川谷谷（上地店）			12月12日午餐
190007 京味斋·郑州牡丹烤鸭（小西天店）			11月25日午餐
190018 美好生日蛋糕店			12月23日晚餐
190005 百叶居·老郑州涮羊肉（田村店）			11月6日晚餐
190008 烤肉刘老郑州炙子烤肉（四道口店）			12月8日晚餐
190012 钢管厂五区小郡肝火锅串串香（五彩城店）			11月19日晚餐
190007 重八牛府之初入江湖（双榆树店）			11月19日晚餐
190026 蝎王府羊蝎子（西直门店）			12月22日晚餐
190016 何贤记（中关村店）			12月24日晚餐
190011 玫瑰花园自助烤肉（金源店）			12月12日午餐
190007 福口居（北太平庄店）			11月23日午餐
190028 小渔棠（北清路店）			12月13日午餐
190028 沸腾渝家（世纪金源购物中心店）			12月22日午餐
190019 虎坊桥石锅烤肉（人民大学店）			12月22日午餐
191000 行运打边炉（五棵松店）			11月6日晚餐
190029 小三峡巫山烤鱼麻辣香锅（邮大南门店）			11月30日晚餐
190002 城都成串串香（创客小镇店）			11月24日午餐
190029 来一碗牛肉面酷串吧新疆菜馆			11月19日晚餐
190006 原始泥炉烤肉（凤凰岭度假村店）			12月9日晚餐
190010 祥记金鲍堂（金鲍堂万寿路店）			11月20日晚餐
